epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1221,1.33952,4.82577,1.42036,0.01452,0.27895,0.03533,0.02769,0.91755,3.7138,1.03307,5.78431e-05,5.78431e-05,5.78431e-05
2,56.7706,1.30452,3.86558,1.37588,0.48532,0.16524,0.12621,0.09992,0.93284,2.68271,1.07571,0.000115026,0.000115026,0.000115026
3,84.059,1.28495,3.30405,1.37307,0.42081,0.28248,0.22825,0.18075,0.94647,2.26455,1.08604,0.000171055,0.000171055,0.000171055
4,111.348,1.29974,2.97471,1.39082,0.65098,0.27512,0.31567,0.2328,1.04021,2.09787,1.13414,0.000169802,0.000169802,0.000169802
5,138.781,1.23732,2.75689,1.35549,0.58643,0.3181,0.36157,0.29264,0.89529,1.85244,1.05007,0.00016807,0.00016807,0.00016807
6,166.764,1.24653,2.62234,1.35688,0.5931,0.38417,0.42763,0.33787,0.90704,1.72414,1.07711,0.000166337,0.000166337,0.000166337
7,194.218,1.20747,2.436,1.3345,0.57106,0.45472,0.47036,0.37222,0.88109,1.66618,1.04647,0.000164605,0.000164605,0.000164605
8,221.988,1.21867,2.36879,1.33814,0.6094,0.47201,0.51195,0.41377,0.88753,1.6291,1.04704,0.000162873,0.000162873,0.000162873
9,249.465,1.19787,2.29841,1.3313,0.63609,0.46484,0.53897,0.42566,0.91849,1.59222,1.05207,0.00016114,0.00016114,0.00016114
10,276.878,1.19164,2.22081,1.31149,0.71186,0.47416,0.60777,0.49619,0.84272,1.47551,1.02737,0.000159408,0.000159408,0.000159408
11,303.996,1.16185,2.18231,1.30582,0.66775,0.58069,0.61497,0.50016,0.86444,1.41224,1.03023,0.000157675,0.000157675,0.000157675
12,331.939,1.13006,2.05892,1.2894,0.70379,0.56486,0.61671,0.49525,0.86863,1.44813,1.03322,0.000155942,0.000155942,0.000155942
13,359.586,1.12914,2.04372,1.27719,0.69888,0.56184,0.64651,0.52879,0.88054,1.40598,1.04927,0.00015421,0.00015421,0.00015421
14,386.976,1.13358,1.97854,1.28347,0.73616,0.56514,0.67026,0.54656,0.88418,1.36746,1.03683,0.000152477,0.000152477,0.000152477
15,414.253,1.10708,1.87921,1.27024,0.72899,0.59832,0.67939,0.55671,0.82495,1.30309,1.01289,0.000150745,0.000150745,0.000150745
16,449.205,1.11459,1.89645,1.26582,0.65868,0.67658,0.70929,0.57919,0.84193,1.27371,1.03595,0.000149012,0.000149012,0.000149012
17,476.045,1.1053,1.85858,1.26219,0.78157,0.62962,0.72051,0.57842,0.84314,1.27472,1.01663,0.00014728,0.00014728,0.00014728
18,503.141,1.08431,1.78782,1.24664,0.67505,0.64041,0.68984,0.55478,0.87889,1.34836,1.03871,0.000145548,0.000145548,0.000145548
19,530.572,1.09801,1.79067,1.26067,0.8199,0.61494,0.70223,0.57794,0.84639,1.30953,1.03075,0.000143815,0.000143815,0.000143815
20,558.888,1.08307,1.74582,1.25009,0.83249,0.58766,0.75037,0.59499,0.89612,1.25872,1.04168,0.000142083,0.000142083,0.000142083
21,586.969,1.06667,1.67884,1.23795,0.6868,0.71603,0.77046,0.62967,0.85776,1.22338,1.02934,0.00014035,0.00014035,0.00014035
22,614.512,1.05857,1.66579,1.24271,0.77654,0.64235,0.74537,0.60769,0.85797,1.28041,1.02023,0.000138618,0.000138618,0.000138618
23,641.947,1.07241,1.65927,1.2399,0.75904,0.66188,0.76454,0.63345,0.81353,1.2092,1.00195,0.000136885,0.000136885,0.000136885
24,669.597,1.08322,1.62571,1.25175,0.75447,0.66944,0.76698,0.62847,0.83376,1.2031,1.01022,0.000135152,0.000135152,0.000135152
25,696.986,1.04633,1.56509,1.22165,0.79329,0.63665,0.75477,0.61266,0.86538,1.24482,1.02983,0.00013342,0.00013342,0.00013342
26,724.636,1.03975,1.58894,1.22753,0.8034,0.68679,0.76477,0.629,0.81882,1.17076,1.00324,0.000131687,0.000131687,0.000131687
27,752.263,1.04651,1.5416,1.22924,0.75123,0.71661,0.79325,0.6314,0.85974,1.1536,1.02484,0.000129955,0.000129955,0.000129955
28,779.989,1.04476,1.53935,1.22392,0.7717,0.68451,0.76876,0.62255,0.8628,1.2091,1.03291,0.000128223,0.000128223,0.000128223
29,807.53,1.02198,1.50178,1.21416,0.72461,0.70871,0.77905,0.6228,0.87038,1.18362,1.03616,0.00012649,0.00012649,0.00012649
30,834.786,1.02048,1.47063,1.21043,0.76162,0.75024,0.79392,0.64978,0.82077,1.13334,1.00759,0.000124758,0.000124758,0.000124758
31,861.417,1.01028,1.44704,1.20574,0.7654,0.71949,0.78221,0.64493,0.82788,1.14199,1.0101,0.000123025,0.000123025,0.000123025
32,888.26,1.012,1.43598,1.2074,0.7902,0.68399,0.77587,0.62304,0.86171,1.20849,1.03878,0.000121292,0.000121292,0.000121292
33,915.184,1.03084,1.45064,1.20547,0.75571,0.70071,0.79003,0.65132,0.82982,1.16624,1.01182,0.00011956,0.00011956,0.00011956
